Chord,Fixed_Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
Bb:sus4/4,Bb:sus4/4,4,0,4,0,0
Bb:sus4/5,Bb:sus4/5,4,0,4,0,0
D:sus4(9)/9,D:sus4(9)/9,4,0,4,0,0
D:dim7(6)/6,D:dim7(6)/6,4,0,4,0,0
G:min(4)/4,G:min(4)/4,4,0,4,0,0
Db:9/b7,Db:9/b7,4,0,4,0,0
F#:maj(9)/9,F#:maj(9)/9,4,0,4,0,0
G:9/9,G:9/9,4,0,4,0,0
C#:maj(b4)/b4,C#:maj(b4)/b4,4,0,4,0,0
Bb:maj(b6)/b6,Bb:maj(b6)/b6,4,0,4,0,0
"G:7(#11,b9)","G:7(#11,b9)",4,0,4,0,0
"Gb:(3,b5,b7)",Gb:7(#11),4,0,4,0,0
Bb:maj9(#11)/5,Bb:maj9(#11)/5,4,0,4,0,0
E:maj(b1)/b1,E:maj(b1)/b1,4,0,4,0,0
"C:(3,b5,b7,#9)","C:7(#9,#11)",4,0,4,0,0
E:maj(b9),E:maj(b9),4,0,0,4,0
Bb:maj/9,Bb:maj/9,4,0,0,4,0
E/2,E:maj/2,4,0,0,4,0
A/b3,A:maj/b3,4,0,0,4,0
C/6,C:maj/6,4,0,0,4,0
F#:dim/b3,F#:dim/b3,4,0,0,4,0
G:minmaj7/5,G:minmaj7/5,4,0,0,4,0
B:maj(*3),B:maj(3),4,0,0,4,0
F/9,F:maj/9,4,0,0,4,0
F:min/7,F:min/7,4,0,0,4,0
F:min/6,F:min/6,4,0,0,4,0
Ab/3,Ab:maj/3,4,0,0,4,0
"E:(1,5)",E:5,4,0,0,4,0
Bb/7,Bb:maj/7,4,0,0,4,0
"D:min7(2,*b3,4)","D:min7(2,b3,4)",4,0,0,4,0
"D:(1,4)",D:sus4,4,0,0,4,0
"D#:(1,4)",D#:sus4,4,0,0,4,0
"E:(1,4)",E:sus4,4,0,0,4,0
A:7(13),A:7(13),4,0,0,4,0
A:maj(*5),A:maj(5),4,0,0,4,0
"Db:(3,#5,b7)",Db:aug,4,0,0,0,4
E:maj/b1,E:maj/b1,4,0,0,0,4
D:min/7,D:min/7,4,0,0,0,4
"Bb:(3,#5,7,9)",Bb:aug(9),4,0,0,0,4
"Gb:(3,5,7,9,#11)","Gb:maj7(9,#11)",4,0,0,0,4
"D:(3,#5,7,9)",D:aug(9),4,0,0,0,4
Ab:9/3,Ab:9/3,4,0,0,0,4
B:maj/b9,B:maj/b9,4,0,0,0,4
G:sus4/9,G:sus4/9,4,0,0,0,4
"C:(4,5,b7,9,11,13)","C:sus4(9,11,13)",4,0,0,0,4
"Bb:(4,5,b7,9)",Bb:sus4(9),4,0,0,0,4
"A:(b5,b7,3)/b5",A:7(#11)/b5,3,3,0,0,0
Ab:5/b7,Ab:5/b7,3,3,0,0,0
Ab:maj6/4,Ab:maj6/4,3,3,0,0,0
G:7(b13),G:7(b13),3,3,0,0,0
C#:sus2(b7),C#:sus2(b7),3,3,0,0,0
B:min(11)/7,B:min(11)/7,3,3,0,0,0
B:maj/7,B:maj/7,3,3,0,0,0
G:maj6(7),G:maj6(7),3,3,0,0,0
Eb:sus2,Eb:sus2,3,3,0,0,0
B:min(11)/4,B:min(11)/4,3,3,0,0,0
B:min11,B:min11,3,3,0,0,0
Eb:maj(#11),Eb:maj(#11),3,3,0,0,0
F:9/3,F:9/3,3,3,0,0,0
G:9/5,G:9/5,3,3,0,0,0
Db:aug,Db:aug,3,3,0,0,0
B:7(b9)/b2,B:7(b9)/b2,3,3,0,0,0
D:maj9(13),D:maj9(13),3,3,0,0,0
F#:hdim7/b5,F#:hdim7/b5,3,3,0,0,0
A:7(b9)/5,A:7(b9)/5,3,3,0,0,0
A:7(b9)/b7,A:7(b9)/b7,3,3,0,0,0
Eb:maj7(#11)/3,Eb:maj7(#11)/3,3,3,0,0,0
B:5(b7),B:5(b7),3,3,0,0,0
C:7(b9)/3,C:7(b9)/3,3,2,1,0,0
F:min(b13),F:min(b13),3,3,0,0,0
D:min9/b7,D:min9/b7,3,1,2,0,0
A:9/3,A:9/3,3,3,0,0,0
Bb:minmaj7/7,Bb:minmaj7/7,3,3,0,0,0
E:7(b9)/4,E:7(b9)/4,3,3,0,0,0
"B:7(b9,b13)","B:7(b9,b13)",3,3,0,0,0
F:7(#11),F:7(#11),3,3,0,0,0
F:min11,F:min11,3,3,0,0,0
E:dim/b5,E:dim/b5,3,3,0,0,0
Ab:maj(9)/6,Ab:maj(9)/6,3,3,0,0,0
Bb:min11/b7,Bb:min11/b7,3,3,0,0,0
A:9/5,A:9/5,3,1,1,1,0
F:min7(11),F:min7(11),3,3,0,0,0
"A:(11,9)","A:maj(11,9)",3,3,0,0,0
E:7(#11),E:7(#11),3,3,0,0,0
F:hdim7/b7,F:hdim7/b7,3,3,0,0,0
Db:maj6(9)/5,Db:maj6(9)/5,3,3,0,0,0
B:maj6/5,B:maj6/5,3,3,0,0,0
Eb:maj(b9),Eb:maj(b9),3,3,0,0,0
E:maj7(b1)/b1,E:maj7(b1)/b1,3,0,3,0,0
Db:min6(9),Db:min6(9),3,0,3,0,0
Eb:aug(7),Eb:aug(7),3,0,3,0,0
"B:sus4(b7,b9)","B:sus4(b7,b9)",3,0,3,0,0
"D:maj9(11,13)","D:maj9(11,13)",3,0,3,0,0
"Ab:9(11,13)/3","Ab:9(11,13)/3",3,0,3,0,0
Gb:maj(#5)/#5,Gb:maj(#5)/#5,3,0,3,0,0
F:min9/b7,F:min9/b7,3,0,3,0,0
C:maj9/5,C:maj9/5,3,0,3,0,0
"Cb:(3,b5,b7,b9)","B:7(b9,#11)",3,0,3,0,0
"D:(3,b5,b7,#9)","D:7(#9,#11)",3,0,3,0,0
"Eb:aug(b7,b9)","Eb:aug(b7,b9)",3,0,3,0,0
Db:maj(#5)/#5,Db:maj(#5)/#5,3,0,3,0,0
E:minmaj7/b3,E:minmaj7/b3,3,0,3,0,0
F:aug(7),F:aug(7),3,0,3,0,0
C#:9(#11),C#:9(#11),3,0,3,0,0
Db:min6(#9)/#9,Db:min6(#9)/#9,3,0,3,0,0
G:dim7/b3,G:dim7/b3,3,0,3,0,0
"C:7(b13,b9,11)","C:7(b13,b9,11)",3,0,3,0,0
D#:7(#9),D#:7(#9),3,0,3,0,0
"C#:7(#11,b9)","C#:7(#11,b9)",3,0,3,0,0
C:min9/9,C:min9/9,3,0,3,0,0
F#:maj9(#11),F#:maj9(#11),3,0,3,0,0
Bb:hdim7(9),Bb:hdim7(9),3,0,3,0,0
G:min(b6)/b6,G:min(b6)/b6,3,0,3,0,0
A:9/9,A:9/9,3,0,3,0,0
D:maj7/7,D:maj7/7,3,0,3,0,0
Bb:9/9,Bb:9/9,3,0,3,0,0
Eb:9/9,Eb:9/9,3,0,3,0,0
B:9/9,B:9/9,3,0,3,0,0
F:7(6)/6,F:7(6)/6,3,0,3,0,0
D:maj(4)/4,D:maj(4)/4,3,0,3,0,0
G:hdim7(4)/4,G:hdim7(4)/4,3,0,3,0,0
G:min(9)/9,G:min(9)/9,3,0,3,0,0
G:maj(b3)/3,G:maj(b3)/3,3,0,3,0,0
C:minmaj7/7,C:minmaj7/7,3,0,3,0,0
G:sus4(b9)/b9,G:sus4(b9)/b9,3,0,3,0,0
A:9(11),A:9(11),3,0,2,1,0
Gb:aug(b7),Gb:aug(b7),3,0,3,0,0
D:maj(b5)/b5,D:maj(#11)/b5,3,0,3,0,0
D#:min7/b7,D#:min7/b7,3,0,3,0,0
"Bb:maj9(11,13)","Bb:maj9(11,13)",3,0,3,0,0
Eb:maj(2)/3,Eb:maj(2)/3,3,0,3,0,0
F:min(4)/4,F:min(4)/4,3,0,3,0,0
F:min9/9,F:min9/9,3,0,3,0,0
F#:sus4/5,F#:sus4/5,3,0,3,0,0
Eb:hdim7(#4)/#4,Eb:hdim7(#4)/#4,3,0,3,0,0
B:maj6(4)/4,B:maj6(4)/4,3,0,3,0,0
B:7(b3)/b3,B:7(b3)/b3,3,0,3,0,0
"Eb:7(#11,#9)","Eb:7(#11,#9)",3,0,3,0,0
C:hdim7/b3,C:hdim7/b3,3,0,3,0,0
"G:(3,b5,b7,#9)","G:7(#9,#11)",3,0,3,0,0
"E:aug(b7,9)","E:aug(b7,9)",3,0,3,0,0
C:maj(b6)/b6,C:maj(b6)/b6,3,0,3,0,0
G:7(b9)/b7,G:7(b9)/b7,3,0,3,0,0
Bb:dim7(5)/5,Bb:dim7(5)/5,3,0,3,0,0
"F:7(#11,b9)","F:7(#11,b9)",3,0,3,0,0
"G:9(b13,11)/3","G:9(b13,11)/3",3,0,3,0,0
F#:7(4),F#:7(4),3,0,3,0,0
Bb:9/b7,Bb:9/b7,3,0,3,0,0
G:dim7(9)/9,G:dim7(9)/9,3,0,3,0,0
B:maj6(b9)/b9,B:maj6(b9)/b9,3,0,3,0,0
"F:(b3,#5)",F:min,3,0,3,0,0
"G:(3,b5,b7,b9)","G:7(b9,#11)",3,0,3,0,0
B:aug(9)/9,B:aug(9)/9,3,0,3,0,0
"F:maj9(#4,#11)/#4","F:maj9(#4,#11)/#4",3,0,3,0,0
G:sus4(2)/2,G:sus4(2)/2,3,0,0,3,0
B:dim7/b9,B:dim7/b9,3,0,0,3,0
Bb:dim7/5,Bb:dim7/5,3,0,0,3,0
F#:aug,F#:aug,3,0,0,3,0
F#:hdim7/b7,F#:hdim7/b7,3,0,0,3,0
G:maj(*1)/5,G:maj/5,3,0,0,3,0
"A:min7(*5,b6)","A:min7(5,b6)",3,0,0,3,0
D:7/2,D:7/2,3,0,0,3,0
B:min(6),B:min(6),3,0,0,3,0
Cb,B:maj,3,0,0,3,0
F#/4,F#:maj/4,3,0,0,3,0
F/7,F:maj/7,3,0,0,3,0
A:sus4(2),A:sus4(2),3,0,0,3,0
E:dim7/b3,E:dim7/b3,3,0,0,3,0
G:min6/4,G:min6/4,3,0,0,0,3
Db:maj/#1,Db:maj/#1,3,0,0,0,3
Ab:7/#4,Ab:7/#4,3,0,0,0,3
"A:(b3,5,b7,9,11)","A:min7(9,11)",3,0,0,0,3
"D:(3,5,b7,9,11,13)","D:7(9,11,13)",3,0,0,0,3
"F#:(3,5,b7,9,11,13)","F#:7(9,11,13)",3,0,0,0,3
"Bb:(3,5,6,9)","Bb:maj(6,9)",3,0,0,0,3
"F:(3,#5,7)",F:aug,3,0,0,0,3
"Ab:(3,5,b7,b9)",Ab:7(b9),3,0,0,0,3
"F:(3,5,b7,b9,11,b13)","F:7(b9,11,b13)",3,0,0,0,3
Db:9/5,Db:9/5,3,0,0,0,3
"A:(3,#5,7,9)",A:aug(9),3,0,0,0,3
"E:(4,5,b7)/4",E:sus4/4,3,0,0,0,3
"Db:(3,#5,7,9)",Db:aug(9),3,0,0,0,3
"C:(3,#5,7,9)",C:aug(9),3,0,0,0,3
"D:(3,5,7,9,#11)","D:maj7(9,#11)",3,0,0,0,3
G:sus2,G:sus2,2,2,0,0,0
Db:minmaj7/5,Db:minmaj7/5,2,2,0,0,0
Db:sus2,Db:sus2,2,2,0,0,0
"Fb:(3,7)",E:maj7,2,2,0,0,0
Ab:5/5,Ab:5/5,2,2,0,0,0
Ab:maj/b7,Ab:maj/b7,2,2,0,0,0
Ab:maj/6,Ab:maj/6,2,2,0,0,0
Db:sus4(9),Db:sus4(9),2,2,0,0,0
F:min9/4,F:min9/4,2,2,0,0,0
E:hdim7/b3,E:hdim7/b3,2,2,0,0,0
B:dim(b13),B:dim(b13),2,2,0,0,0
"D:7(b9,#11)","D:7(b9,#11)",2,2,0,0,0
F#:hdim7/b3,F#:hdim7/b3,2,2,0,0,0
D:7(#11),D:7(#11),2,2,0,0,0
B:maj/b4,B:maj/b4,2,2,0,0,0
A:min7(11),A:min7(11),2,2,0,0,0
A:hdim7/b5,A:hdim7/b5,2,2,0,0,0
C:min(9)/5,C:min(9)/5,2,2,0,0,0
F:sus2(b7),F:sus2(b7),2,2,0,0,0
C:min6/2,C:min6/2,2,2,0,0,0
D:maj6(7),D:maj6(7),2,2,0,0,0
D:min6(7),D:min6(7),2,2,0,0,0
G:maj(11)/4,G:maj(11)/4,2,2,0,0,0
C:min/6,C:min/6,2,1,0,1,0
C#:min(11),C#:min(11),2,2,0,0,0
B:min(11)/b7,B:min(11)/b7,2,2,0,0,0
"Eb:sus4(b7,9,#11)","Eb:sus4(b7,9,#11)",2,2,0,0,0
C#:min11,C#:min11,2,2,0,0,0
F:sus2/3,F:sus2/3,2,2,0,0,0
A:maj(11)/b7,A:maj(11)/b7,2,2,0,0,0
"Eb:sus4(b7,9)/5","Eb:sus4(b7,9)/5",2,2,0,0,0
F:maj7/4,F:maj7/4,2,2,0,0,0
C:maj6(7),C:maj6(7),2,2,0,0,0
F:dim/#4,F:dim/#4,2,2,0,0,0
D#:maj/b6,D#:maj/b6,2,2,0,0,0
C:dim/7,C:dim/7,2,2,0,0,0
"F#:(b5,b7,3)",F#:7(#11),2,2,0,0,0
"C:(b5,b7,3)",C:7(#11),2,2,0,0,0
"Eb:(b5,b7,3)",Eb:7(#11),2,2,0,0,0
"G:(b5,b7,3)",G:7(#11),2,2,0,0,0
F#:7/b2,F#:7/b2,2,2,0,0,0
F#:min7(11),F#:min7(11),2,2,0,0,0
G#:min7(11),G#:min7(11),2,2,0,0,0
"Bb:sus4(b7,9,13)","Bb:sus4(b7,9,13)",2,2,0,0,0
Ab:min7/5,Ab:min7/5,2,2,0,0,0
Db:min/5,Db:min/5,2,1,1,0,0
"F:sus4(b7,9)/2","F:sus4(b7,9)/2",2,2,0,0,0
B:7(b9)/3,B:7(b9)/3,2,2,0,0,0
G:maj/#4,G:maj/#4,2,2,0,0,0
C:7(b9)/b2,C:7(b9)/b2,2,2,0,0,0
Bb:min/2,Bb:min/2,2,2,0,0,0
Cb:maj9,B:maj9,2,2,0,0,0
Bb:9/3,Bb:9/3,2,2,0,0,0
Gb:min/3,Gb:min/3,2,2,0,0,0
Ab:maj6(b7),Ab:maj6(b7),2,2,0,0,0
Eb:min6(#11),Eb:min6(#11),2,2,0,0,0
C#:dim7/b3,C#:dim7/b3,2,2,0,0,0
B:min11/b7,B:min11/b7,2,2,0,0,0
A#:1/1,A#:1/1,2,2,0,0,0
Db:min(9),Db:min(9),2,2,0,0,0
Gb:maj6(b7),Gb:maj6(b7),2,2,0,0,0
Fb:5(b7),E:5(b7),2,2,0,0,0
C:5(b7),C:5(b7),2,2,0,0,0
C:5(13),C:5(13),2,2,0,0,0
Fb:maj7,E:maj7,2,2,0,0,0
A:maj6/3,A:maj6/3,2,2,0,0,0
C#:7/4,C#:7/4,2,2,0,0,0
A:(b7)/b7,A:maj/b7,2,2,0,0,0
A:(13)/6,A:maj(13)/6,2,2,0,0,0
F:(3),F:maj,2,2,0,0,0
E:min9/2,E:min9/2,2,2,0,0,0
D:maj13,D:maj13,2,2,0,0,0
B:maj/2,B:maj/2,2,2,0,0,0
B:maj6(b9),B:maj6(b9),2,2,0,0,0
D:sus4(b7)/2,D:sus4(b7)/2,2,2,0,0,0
D:hdim7/b3,D:hdim7/b3,2,2,0,0,0
A:min(9)/b7,A:min(9)/b7,2,2,0,0,0
A:min(9)/6,A:min(9)/6,2,2,0,0,0
A:min9(b13),A:min9(b13),2,2,0,0,0
F:maj(#11),F:maj(#11),2,2,0,0,0
B:maj7(b5)/b5,B:maj7(#11)/b5,2,0,2,0,0
G:aug(7),G:aug(7),2,0,2,0,0
"F:(3,b5,b7)",F:7(#11),2,0,2,0,0
"C#:aug(b7,#9)","C#:aug(b7,#9)",2,0,2,0,0
"Eb:(3,b5,b7,b9)","Eb:7(b9,#11)",2,0,2,0,0
C:9/b7,C:9/b7,2,0,2,0,0
C:min6(b7)/b7,C:min6(b7)/b7,2,0,2,0,0
B:maj(b9)/b9,B:maj(b9)/b9,2,0,2,0,0
"A:(b3,#5)",A:min,2,0,2,0,0
F:maj9(#11)/7,F:maj9(#11)/7,2,0,2,0,0
Db:aug(7)/3,Db:aug(7)/3,2,0,2,0,0
C:maj(b9)/b9,C:maj(b9)/b9,2,0,2,0,0
Gb:minmaj7,Gb:minmaj7,2,0,2,0,0
"G:(3,b5,b7,9)","G:7(9,#11)",2,0,2,0,0
Eb:maj6(7)/6,Eb:maj6(7)/6,2,0,2,0,0
D:maj9(#11)/3,D:maj9(#11)/3,2,0,2,0,0
E:maj9(#11)/3,E:maj9(#11)/3,2,0,2,0,0
C#:hdim7/b5,C#:hdim7/b5,2,0,2,0,0
C:dim7(5)/5,C:dim7(5)/5,2,0,2,0,0
A:maj(b9)/b9,A:maj(b9)/b9,2,0,2,0,0
Bb:hdim7/b7,Bb:hdim7/b7,2,0,2,0,0
"A:7(4,b9)/4","A:7(4,b9)/4",2,0,2,0,0
"A:7(11,#9,13)","A:7(11,#9,13)",2,0,2,0,0
E:7(#9)/5,E:7(#9)/5,2,0,2,0,0
A#:min9(11),A#:min9(11),2,0,2,0,0
"D#:7(11,b9,13)","D#:7(11,b9,13)",2,0,2,0,0
"G#:9(11,13)","G#:9(11,13)",2,0,2,0,0
B:dim7(b9)/b9,B:dim7(b9)/b9,2,0,2,0,0
F#:min6/b3,F#:min6/b3,2,0,2,0,0
B:maj9/3,B:maj9/3,2,0,2,0,0
"Db:(3,b5,b7,9)","Db:7(9,#11)",2,0,2,0,0
"A:9(11,13)/3","A:9(11,13)/3",2,0,2,0,0
"G#:aug(b7,b9)","G#:aug(b7,b9)",2,0,2,0,0
"A:maj7(#9,b9)","A:maj7(#9,b9)",2,0,2,0,0
Bb:aug(7)/#5,Bb:aug(7)/#5,2,0,2,0,0
A:hdim7(9),A:hdim7(9),2,0,2,0,0
E:hdim7(9),E:hdim7(9),2,0,2,0,0
D:minmaj7(9),D:minmaj7(9),2,0,2,0,0
"C#:(3,b5,b7,b9)","C#:7(b9,#11)",2,0,2,0,0
G:dim7(5)/5,G:dim7(5)/5,2,0,2,0,0
Gb:dim7(#5)/#5,Gb:dim7(#5)/#5,2,0,2,0,0
F:dim7(6)/6,F:dim7(6)/6,2,0,2,0,0
"G#:maj(b4,9)/b4","G#:maj(b4,9)/b4",2,0,2,0,0
F#:maj7/5,F#:maj7/5,2,0,2,0,0
"C#:7(b13,b9,11)","C#:7(b13,b9,11)",2,0,2,0,0
G:maj9/3,G:maj9/3,2,0,2,0,0
"Gb:aug(b7,9)","Gb:aug(b7,9)",2,0,2,0,0
C:maj6(7)/7,C:maj6(7)/7,2,0,2,0,0
A:minmaj7(9),A:minmaj7(9),2,0,2,0,0
C:maj9/7,C:maj9/7,2,0,2,0,0
Db:min7(#6)/#6,Db:min7(#6)/#6,2,0,2,0,0
"D#:(3,b5,b7,b9)","D#:7(b9,#11)",2,0,2,0,0
D:7(b5)/b5,D:7(#11)/b5,2,0,2,0,0
"Db:aug(b7,#9)","Db:aug(b7,#9)",2,0,2,0,0
G:maj7(4)/4,G:maj7(4)/4,2,0,2,0,0
"Db:(3,b5,b7,b9)","Db:7(b9,#11)",2,0,2,0,0
F#:7(6)/6,F#:7(6)/6,2,0,2,0,0
D:dim7(5)/5,D:dim7(5)/5,2,0,2,0,0
C:min6/5,C:min6/5,2,0,2,0,0
E:maj(2)/3,E:maj(2)/3,2,0,2,0,0
F:maj(2)/3,F:maj(2)/3,2,0,2,0,0
"Ab:sus4(b7,b9)/5","Ab:sus4(b7,b9)/5",2,0,2,0,0
D#:min6,D#:min6,2,0,2,0,0
F#:maj6(9),F#:maj6(9),2,0,2,0,0
G:maj6(7)/7,G:maj6(7)/7,2,0,2,0,0
Db:maj6/3,Db:maj6/3,2,0,2,0,0
C:maj7(4)/4,C:maj7(4)/4,2,0,2,0,0
Eb:sus4/4,Eb:sus4/4,2,0,2,0,0
Eb:sus4/5,Eb:sus4/5,2,0,2,0,0
Bb:min9/5,Bb:min9/5,2,0,2,0,0
D:maj(9)/5,D:maj(9)/5,2,0,2,0,0
D:min(b1)/b1,D:min(b1)/b1,2,0,2,0,0
"D#:sus4(b7,b9)","D#:sus4(b7,b9)",2,0,2,0,0
A:min6(4)/4,A:min6(4)/4,2,0,2,0,0
"B:9(11,b9,13)/b9","B:9(11,b9,13)/b9",2,0,2,0,0
C#:7(b4)/b4,C#:7(b4)/b4,2,0,2,0,0
A:aug(b7)/3,A:aug(b7)/3,2,0,2,0,0
F#:7(4)/4,F#:7(4)/4,2,0,2,0,0
Db:maj(#1)/#1,Db:maj(#1)/#1,2,0,2,0,0
Db:maj(#9)/#9,Db:maj(#9)/#9,2,0,2,0,0
Eb:maj(#5)/#5,Eb:maj(#5)/#5,2,0,2,0,0
Eb:7(6)/6,Eb:7(6)/6,2,0,2,0,0
Eb:7(#5)/#5,Eb:7(#5)/#5,2,0,2,0,0
Eb:maj(#4)/#4,Eb:maj(#4)/#4,2,0,2,0,0
F:hdim7(#4)/#4,F:hdim7(#4)/#4,2,0,2,0,0
E:min(b6),E:min(b6),2,0,2,0,0
B:min(9)/9,B:min(9)/9,2,0,2,0,0
E:min(9)/9,E:min(9)/9,2,0,2,0,0
"Ab:aug(7,9)/9","Ab:aug(7,9)/9",2,0,2,0,0
"Ab:9(11,4,13)/3","Ab:9(11,4,13)/3",2,0,2,0,0
F:minmaj7(9)/9,F:minmaj7(9)/9,2,0,2,0,0
D:min(b6)/b6,D:min(b6)/b6,2,0,2,0,0
D:maj(b6)/b6,D:maj(b6)/b6,2,0,2,0,0
"B:aug(b7,9)","B:aug(b7,9)",2,0,2,0,0
"C:(3,b5,b7,b9,b13)/b6","C:7(b9,b13,#11)/b6",2,0,2,0,0
B:minmaj7/b3,B:minmaj7/b3,2,0,2,0,0
Eb:9(#11)/3,Eb:9(#11)/3,2,0,2,0,0
F:min9(11)/b3,F:min9(11)/b3,2,0,2,0,0
Bb:aug(7)/7,Bb:aug(7)/7,2,0,2,0,0
Db:maj9/9,Db:maj9/9,2,0,2,0,0
D:maj(b3)/b3,D:maj(b3)/b3,2,0,2,0,0
G:dim/b3,G:dim/b3,2,0,1,1,0
Eb:7(#4)/#4,Eb:7(#4)/#4,2,0,2,0,0
"A:maj9(#11,b1)/b1","A:maj9(#11,b1)/b1",2,0,2,0,0
Ab:7(#4)/#4,Ab:7(#4)/#4,2,0,2,0,0
Gb:min9/9,Gb:min9/9,2,0,2,0,0
"D:sus4(b7,13,11,9)","D:sus4(b7,13,11,9)",2,0,2,0,0
G:hdim7(b9)/b9,G:hdim7(b9)/b9,2,0,2,0,0
Db:min(b6),Db:min(b6),2,0,2,0,0
D:maj6(9)/9,D:maj6(9)/9,2,0,2,0,0
C:maj(#5)/#5,C:maj(#5)/#5,2,0,2,0,0
B:min9/9,B:min9/9,2,0,2,0,0
Ab:aug(7),Ab:aug(7),2,0,2,0,0
D#:maj6,D#:maj6,2,0,2,0,0
"C:(b3,#5)",C:min,2,0,2,0,0
E:hdim7(4)/4,E:hdim7(4)/4,2,0,2,0,0
G:hdim7(9),G:hdim7(9),2,0,2,0,0
"Db:(3,b5,b7)",Db:7(#11),2,0,2,0,0
C:maj(4)/4,C:maj(4)/4,2,0,2,0,0
Ab:maj(#5)/#5,Ab:maj(#5)/#5,2,0,2,0,0
"D:7(b13,b9,11)","D:7(b13,b9,11)",2,0,2,0,0
Db:7(#9)/5,Db:7(#9)/5,2,0,2,0,0
C:7(#9)/5,C:7(#9)/5,2,0,2,0,0
"Bb:9(11,13)/5","Bb:9(11,13)/5",2,0,2,0,0
G:hdim7/b7,G:hdim7/b7,2,0,2,0,0
F:maj9(#4)/#4,F:maj9(#4)/#4,2,0,2,0,0
"Db:maj9(11,13)","Db:maj9(11,13)",2,0,2,0,0
"E:9(b5,#11)/b5",E:9(#11)/b5,2,0,2,0,0
"Gb:9(11,13)/3","Gb:9(11,13)/3",2,0,2,0,0
"F:(3,b5,b7,#9)","F:7(#9,#11)",2,0,2,0,0
A:aug/#5,A:aug/#5,2,0,0,2,0
D:min7(4)/5,D:min7(4)/5,2,0,0,2,0
F:maj(9)/6,F:maj(9)/6,2,0,0,2,0
C:maj(2),C:maj(2),2,0,0,2,0
A/9,A:maj/9,2,0,0,2,0
E/6,E:maj/6,2,0,0,2,0
Bb:sus2(b7),Bb:sus2(b7),2,0,0,2,0
A/7,A:maj/7,2,0,0,2,0
C:dim7/2,C:dim7/2,2,0,0,2,0
A/4,A:maj/4,2,0,0,2,0
B:hdim7/b3,B:hdim7/b3,2,0,0,2,0
B:aug/3,B:aug/3,2,0,0,2,0
F#:min(b6)/5,F#:min(b6)/5,2,0,0,2,0
G:9(*3),G:9(3),2,0,0,2,0
"C#:(1,5)",C#:5,2,0,0,2,0
"C:(1,5)",C:5,2,0,0,2,0
C#:(1),C#:maj,2,0,0,2,0
Bb:(1),Bb:maj,2,0,0,2,0
G:min(9)/b3,G:min(9)/b3,2,0,0,2,0
Db/2,Db:maj/2,2,0,0,2,0
"F:(1,5,9)",F:5(9),2,0,0,2,0
E:9(11),E:9(11),2,0,0,2,0
D:(*5),D:5,2,0,0,2,0
Eb:7/#5,Eb:7/#5,2,0,0,2,0
B:(6),B:maj(6),2,0,0,2,0
F:maj(*3),F:maj(3),2,0,0,2,0
E:maj6/b7,E:maj6/b7,2,0,0,2,0
"F#:(1,4,b7)",F#:sus4,2,0,0,2,0
G:7/b2,G:7/b2,2,0,0,2,0
G:7/2,G:7/2,2,0,0,2,0
A:min(2),A:min(2),2,0,0,2,0
E:min(*5),E:min(5),2,0,0,2,0
"F:(3,#5,b7,9,#11)","F:aug(9,#11)",2,0,0,0,2
"Ab:(3,5,b7,9,11,b13)","Ab:7(9,11,b13)",2,0,0,0,2
"F:(3,5,b7,9,11,b13)","F:7(9,11,b13)",2,0,0,0,2
"E:(3,5,b7,9,11,13)","E:7(9,11,13)",2,0,0,0,2
"Bb:(3,5,b7,9,11,b13)","Bb:7(9,11,b13)",2,0,0,0,2
"Bb:(3,5,b7,9,#11)","Bb:7(9,#11)",2,0,0,0,2
Fb:min7,E:min7,2,0,0,0,2
E:maj/b3,E:maj/b3,2,0,0,0,2
Gb:maj/#9,Gb:maj/#9,2,0,0,0,2
"E:(3,5,7,#9)",E:maj7(#9),2,0,0,0,2
"G:(3,5,7,9,#11)","G:maj7(9,#11)",2,0,0,0,2
Gb:maj/7,Gb:maj/7,2,0,0,0,2
A:maj/b3,A:maj/b3,2,0,0,0,2
Db:aug/7,Db:aug/7,2,0,0,0,2
"Db:(3,5,b7,#9,#11)","Db:7(#9,#11)",2,0,0,0,2
"G:(3,#5,7,9)",G:aug(9),2,0,0,0,2
"Ab:(3,#5,7)/3",Ab:aug/3,2,0,0,0,2
"G:(4,5,b7,9)",G:sus4(9),2,0,0,0,2
"Bb:(3,5,7,9,#11)","Bb:maj7(9,#11)",2,0,0,0,2
"Ab:(3,#5,b7)",Ab:aug,2,0,0,0,2
G:maj7(#9),G:maj7(#9),1,1,0,0,0
E:min(9)/7,E:min(9)/7,1,1,0,0,0
A:maj7/2,A:maj7/2,1,1,0,0,0
G:maj/b3,G:maj/b3,1,1,0,0,0
Gb:maj/b7,Gb:maj/b7,1,1,0,0,0
B:7(11),B:7(11),1,1,0,0,0
Bb:(3),Bb:maj,1,1,0,0,0
D:(#5),D:maj,1,1,0,0,0
D:maj/b3,D:maj/b3,1,1,0,0,0
B:min11/5,B:min11/5,1,1,0,0,0
C#:min7/4,C#:min7/4,1,1,0,0,0
C#:hdim7/4,C#:hdim7/4,1,1,0,0,0
D:min6/2,D:min6/2,1,1,0,0,0
G#:min/7,G#:min/7,1,1,0,0,0
G#:min/bb7,G#:min/bb7,1,1,0,0,0
B:maj/6,B:maj/6,1,1,0,0,0
E:min6/2,E:min6/2,1,1,0,0,0
F:7/2,F:7/2,1,1,0,0,0
G:min11/b3,G:min11/b3,1,1,0,0,0
